laptop_id,name,price,original_price,discount_pct,status,delivery_location,seller,seller_shipping_speed,seller_quality-score,customer_rating,seller_score,seller's_followers,brand,model,ram,storage,storage_unit,processor,os,display,rating_score,value_for_money,price_diff,price_range
326703164,"HP Refurbished  Laptop 16GB RAM, 500GB HDD EliteBook 8460/8470 Laptops Intel Core I5, 14'' Inch Screen Display Laptop Windows 11 PRO Activated, Office & Basic software Installed + Free Phone + Free Bag + Free Charger",20459.0,26000.0,21%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Westside Computer Hub,Good,Excellent,Average,86%,208.0,HP,Refurbished,16GB,16.0,GB,,Windows 11,14.0,3.0,6819.666666666667,5541.0,Mid
325512718,Lenovo  ThinkPad X390 Refurbished Intel Core i7 8th Gen 16GB RAM 256GB SSD 13.3 Inch FHD IPS Display With Windows 10,29500.0,30000.0,2%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Techbiz,Good,Excellent,Poor,76%,149.0,Lenovo,ThinkPad,16GB,16.0,GB,i7,Windows 10,14.0,2.0,14750.0,500.0,Mid
325603487,HP EliteBook 850 G7 Notebook PC Intel Core i7-10610U (8Cpus) 2.3GHz 16gb Ram 512gb SSD 10th Generation 2gb Nvidia GeForce MX250 15.6inches (Refurbished),47000.0,50000.0,6%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Nova Africa Entreprise,Good,Poor,Good,68%,32.0,HP,EliteBook,8GB,8.0,,i7,,15.6,4.0,11750.0,3000.0,High
326636311,Lenovo 8TH GEN THINKPAD X380 YOGA 8GB RAM 256GB SSD TOUCH SCREEN REFURBISHED,25999.0,29999.0,13%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,HAMEDA TECHNOLOGIES SHOP,Good,Excellent,Good,90%,76.0,Lenovo,8TH,8GB,8.0,GB,,,14.0,4.0,6499.75,4000.0,Mid
326661206,"HP 16GB RAM,500GB HDD EliteBook Laptops  Refurbished Intel Core i5, 14'' Inch Screen Display Laptop Windows 11 PRO Laptop Activated, Office & Basic software Installed + Free Phone..",19000.0,24500.0,22%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Westside Computer Hub,Good,Excellent,Average,86%,208.0,HP,16GB,16GB,16.0,GB,i5,Windows 11,14.0,3.0,6333.333333333333,5500.0,Low
326645263,"Lenovo ThinkPad T490s Core i7 -8th Gen-16GB RAM-512GB SSD-Refurbished 14""-Black",37999.0,43999.0,14%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,HAMEDA TECHNOLOGIES SHOP,Good,Excellent,Good,90%,76.0,Lenovo,ThinkPad,16GB,16.0,GB,i7,,14.0,4.0,9499.75,6000.0,High
312999520,HP Refurbished EX-UK ProBook 455 G7 15.6 Inch Notebook AMD Ryzen 5 4500U 2.38 GHz 16GB RAM 512GB SSD AMD Radeon Graphics,38000.0,38000.0,,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,novetech supplies,Good,Good,Good,86%,91.0,HP,Refurbished,16GB,16.0,GB,Ryzen 5,,14.0,4.0,9500.0,0.0,High
9539615,"Lenovo  Refurbished ThinkPad Yoga 11e X360 Intel Corei5 8th Generation -Touchscreen- 11.6""- 8GB RAM - SSD 256GB With Stylus Pen",26000.0,30000.0,23%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Techbiz,Good,Excellent,Poor,76%,149.0,Lenovo,Refurbished,8GB,8.0,GB,i5,,14.0,2.0,13000.0,4000.0,Mid
9558099,"HP  16GB RAM 500GB HDD Core i5-6th Gen Laptop 12.5'' Display Elitebook 820 G3 Refurbished Laptop,Bluetooth, Webcam, Windows 11 PRO Activated, Office & Basic Software Installed + Free Bag + Charger + Wireless Mouse,Mousepad + Extension",26000.0,29000.0,18%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Vertex Innovation Hub,Good,Very Poor,Poor,42%,1.0,HP,16GB,16GB,16.0,GB,i5,Windows 11,14.0,2.0,13000.0,3000.0,Mid
298832986,"HP  Refurbished Elitebook 840 G3 6th Gen, Core I5, 16GB RAM- SSD 256GB + 1TB HDD -14""., (6 Months WRTY)",27700.0,39000.0,29%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Digitech Computers,Good,Poor,Average,66%,151.0,HP,Refurbished,16GB,16.0,GB,,,14.0,3.0,9233.333333333334,11300.0,Mid
