laptop_id,name,price,price_before_discount,discount_pct,status,delivery_to_nairobi,seller,seller_shipping_speed,seller_quality-score,seller_customer_rating,seller_score,seller's_followers,scraped_at
325367830,"HP 15s, Intel Celeron N4120, 4GB RAM, 256GB SSD, 15.6"" HD Display, Windows 11 Pro, Silver","KSh 38,999","KSh 40,000",3%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Techovant Solutions Limited,Good,Very Poor,Good,68%,1583,2026-01-26 19:45:52
325673502,"HP  EliteBook 840 G5 Processor- Intel Core i5-8300U -8th Generation Memory- 8GB DDR4  Windows 11 pro 64 bit office 2021 activated Hard drive- 512GB SSD Display-14""  FH Color- SILVER  +Wired mouse","KSh 29,924","KSh 38,000",21%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Lawre Digital Solutions,Good,Excellent,Poor,82%,6,2026-01-26 19:45:53
326071873,"HP Refurbished Folio 9480/70m - 14"" Core I5 RAM 8GB HDD 500GB Windows 10 Silver & Black (6 Months WRTY)","KSh 16,499","KSh 21,999",25%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,HAMEDA TECHNOLOGIES,Good,Very Poor,Good,60%,164,2026-01-26 19:45:54
215424345,"HP  EliteBook 820 Core I5, 16GB RAM 500GB HDD -12.5inch , Black Refurbished Windows 10","KSh 17,400","KSh 29,500",41%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,ERICK ENTERPRISE,Good,Very Poor,Average,48%,130,2026-01-26 19:45:55
316575708,"Lenovo ThinkPad T14s -10th Gen-TouchScreen-Core I5 16GB RAM -256GB SSD -Black-Win 11 Pro-14""","KSh 35,999","KSh 45,000",20%,5 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Mictouch Technology Limited,Excellent,Poor,Good,74%,553,2026-01-26 19:45:56
325754450,"Lenovo  ThinkPad X280 Intel Core i5 8th generation 8GB RAM 512GB SSD 12.5"" FHD IPS Display Refurbished Windows 11 Pro 64bit Office 2021   +  Laptop bag","KSh 26,499","KSh 30,000",12%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Lawre Digital Solutions,Good,Excellent,Poor,82%,6,2026-01-26 19:45:57
325562750,Lenovo  Refurbished THINKPAD T480 Intel Core i5-8th Gen 16GB RAM 256GB SSD Windows 11 pro Installed + Free wireless mouse,"KSh 24,999","KSh 38,000",34%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Techbiz,Good,Excellent,Poor,76%,149,2026-01-26 19:45:58
325845288,HP  Refurbished Dragonfly Core I5 8th Gen 8GB RAM 256GB SSD X360,"KSh 41,000","KSh 46,000",11%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,TWENDY,Good,Excellent,Good,88%,10,2026-01-26 19:45:59
325659394,"HP Refurbished Probook X360 Convertible  11.6"" TOUCH SCREEN  Corei5 8GB RAM 256GB SSD Win 11","KSh 21,400","KSh 25,000",14%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,TECH SHOPIT,Excellent,Excellent,Excellent,98%,16,2026-01-26 19:46:00
326139179,HP EliteBook 820 G1 Core I7 8GB RAM 1TB Slim Ultrabook Laptop Refurbished 6months Warranty,"KSh 19,050","KSh 25,000",24%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,FIVE STAR SELLER,Good,Excellent,Good,88%,9,2026-01-26 19:46:01
9528397,"HP Elitebook 840 G4 Intel Core I7 7Th Gen,16GB Ram,512GB SSD-Refurbished, 6 Months WRTY",,"KSh 43,000",33%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,TECH DG,Good,Very Poor,Average,52%,25,2026-01-26 19:46:02
8354868,"DELL Latitude 7280 6th Gen-Core I5-8GB Ram-256GB SSD-Refurbished- 13""-Black-Win 10 (6 Months WRTY)",,"KSh 30,000",46%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,MOBI STORES,Excellent,Average,Good,80%,41,2026-01-26 19:46:03
8841587,"HP Refurbished Revolve 810 Core I5 12GB RAM, 256GB SSD, 11.6""- Sliver",,"KSh 28,000",7%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,WAISY,,,,,6,2026-01-26 19:48:04
9952751,"Apple MacBook Pro 13"" Core I5 2.5GHz 8GB RAM, 750GB HDD (2012) Silver Refurbished","KSh 35,800","KSh 44,760",20%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,WAISY,,,,,6,2026-01-26 19:50:06
